1∼2개월 동안
올해 하반기
월
월말
월요일
월일
육년
육십년
윤날
윤달
이날
이날부터 9일까지
이년
이다음
이달 20∼25일
이달 25∼30일
이달 8∼28일
이듬해
이레
이번 주말
이십년
이주일
이즈음
이태
이튿날
이틀
이틀 만
이틀 이상
이틀간
이틀만
이틀째
일
일년
일요일
일제시대
일주일
일주일 내내
일주일 동안
일주일 만
일주일 안
일주일간
일주일내
일주일새
임시
입동
입추
자유시대
작년
작년 3월 말부터 이달 19일까지
작일
잠간
재임기간
재작년
저녁
저녁녘
저녁때
저녁참
전날
전반 5분
전반기
전분
정월
조만간
조선시대
종일
주4일
주5일
주말
주말 내내
주야
주일
주초
중세
중세기
중순
중양절
중하
즈음
지금
지난 100일 동안
지난 10년 간
지난 10년 동안
지난 13년 동안
지난 19~20일
지난 1985년에서 1997년까지
지난 1998년부터 2011년 7월까지
지난 1년 동안
지난 1년간
지난 1일부터 10일까지
지난 1일부터 3일까지
지난 2∼9월
지난 2003년부터 11월 11일
지난 2004년부터 2005년 사이
지난 2008년에서 2011년 사이
지난 2010∼2012년
지난 2010년 2월부터 3월 사이
지난 2010년 7월부터 2012년 12월까지
지난 2010년부터 이달 초까지
지난 2012년 3월부터 지난해 7월까지
지난 2013~2014년
지난 2013년부터 올해 상반기까지
지난 20년간
지난 20여년 간
지난 23일부터 24일
지난 25년간
지난 27년간
지난 3년간
지난 3일부터 9일까지
지난 4∼13일
지난 4년
지난 4년 동안
지난 4월 18~9일
지난 4월 29∼5월 1일
지난 5∼6일
지난 5년 동안
지난 5년간
지난 6년여 동안
지난 8년간
지난 8월부터 11월까지
지난 8일부터 16일까지
지난 8일부터 9일
지난 9일부터 15일까지
지난 나흘간
지난 상반기
지난 시즌
지난 주말
지난 한 해 동안
지난달 15~17일
지난달 27일부터 지난 10일까지
지난달 30∼31일
지난달 8∼12일
지난밤
지난번
지난여름
지난해
지난해 10월부터 올해 3월까지
지난해 4분기
지난해 5~7월
지난해 6월 25일부터 4월 8일까지
지난해 8월말부터 12월10일까지
지난해 말부터 올해 초까지
지날 14일부터 오늘(16일)까지
진종일
천년
첫가을
첫겨울
첫새벽
첫여름
초가을
초경
초등학교 4학년 땐
초등학교부터 고등학교때까지
초등학생 시절
초반
초봄
초순
초여름
초열흘
초열흘날
초엿샛날
초이레
초이렛날
초이튿날
초저녁
초하룻날
최근 10년 내
최근 1주일간
최근 3년 이내
최근 3년간
최근 일주일
추석
추석 연휴
추석연휴
추야
춘분
춘추
칠년
칠십년
크리스마스
토요일
틈
팔년
팔십년
평일
포스트시즌
하루
하루 동안
하루 만
하루 만인
하루 이틀
하루 종일
하루만
하루아침
하루이틀일
하루종일
하루하루
하룻날
하룻밤
하반기
하순
하지
학기
학창시절
한 15년쯤
한 1주
한 2주간
한 5년주기
한 6개월
한 달
한 달 간
한 달 만
한 달 이상
한 달간
한 달여 만
한 달째
한 달치
한 평생
한 해
한 해 동안
한10년
한3~4년내
한3주
한가위
한겨울
한낮
한달
한달 내
한달 내내
한달 동안
한달간
한달동안
한두 달 가량
한두 달간
한밤
한밤중
한순
한식
한식날
한여름
한해
해거름
해종일
혁명기
현대
현재
화요일
환절기
후
후기
후년
후반기
